feature_names,sample,qsampled,random_sample
unemp,no,,yes
union,neither belongs,neither belongs,spouse belongs
UNION1,neither belongs,,spouse or partner belongs
kidssol,somewhat better,about the same,somewhat better
chldidel,c,,e
pornlaw,illegal under 18,illegal under 18,legal
xmovie,no,,no
polhitok,no,,no
polmurdr,no,,yes
news,never,,once a week
phone,phone in home,,phone in home
coop,"friendly,interested",,"restless,impatient"
fepresch,disagree,,disagree
RACDIF1,yes,yes,yes
RACDIF3,yes,,yes
helpnot,d,,c
god,believe but doubts,,believe but doubts
numcong,c,c,c
wlthhsps,c,,e
workblks,c,,e
workhsps,c,,c
intlwhts,c,,e
marhisp,favor,,strongly favor
marwht,favor,,oppose
spwksup,no,,no
vigversn,e,,b
CLOSETO1,e,c,b
CLOSETO2,e,,e
CLOSETO3,e,,b
SEETALK1,e,e,e
SEETALK2,e,,c
SEETALK3,e,,c
SEETALK4,e,,e
SEETALK5,e,,d
MYPROBS1,e,,e
SEVERE1,e,,c
SEVERE3,e,,c
SEVERE5,e,,b
DANGOTH1,e,e,d
DANGOTH3,e,,d
DANGOTH5,e,e,d
DANGSLF2,e,,e
DANGSLF4,e,e,d
relpersn,slight religious,,very religious
sprtprsn,modeate spirtual,,slight spiritual
othlang,no,,yes
emailhr,d,,d
yearsjob,c,,d
wrksched,night shift,,split shift
moredays,c,,c
wrkhome,a few times a year,,worker works mainly at home
whywkhme,worker wants to work at home,,worker is operating home-based business
wkvsfam,sometimes,,rarely
hrsrelax,c,,b
learnnew,agree,,disagree
workfast,disagree,,disagree
knowwhat,agree,,disagree
myskills,agree,agree,strongly disagree
respect,agree,agree,agree
safetywk,agree,,agree
safehlth,agree,,strongly disagree
proudemp,agree,,strongly disagree
trdunion,disagree,disagree,strongly disagree
partteam,"yes, i work as part of a team","no, i work mostly on my own","no, i work mostly on my own"
wkdecide,sometimes,,never
toofewwk,often,rarely,never
hlpequip,very true,,not too true
fringeok,very true,not at all true,somewhat true
supcares,somewhat true,,not at all true
condemnd,somewhat true,somewhat true,somewhat true
promtefr,not too true,,not too true
cowrkint,somewhat true,,not at all true
jobsecok,somewhat true,not too true,not at all true
wrktime,not too true,,not too true
manvsemp,quite good,,quite bad
hvylift,no,,yes
fairearn,somewhat more than you deserve,much more than you deserve,much more than you deserve
rincblls,yes,,no
JOBFIND1,somewhat easy to find similar job,,very easy to find similar job
trynewjb,not at all likely,,somewhat likely
wkharsex,no,,yes
physhlth,c,,e
hlthdays,c,,d
backpain,no,,yes
painarms,no,yes,no
strredpg,yes,,yes
phyeffrt,very light,,hard
slpprblm,sometimes,,often
diabetes,no,no,yes
height,c,c,c
misswork,c,,d
lifenow,c,,e
hlthphys,good,,fair
hlthmntl,very good,good,fair
satsoc,very good,,very good
actssoc,excellent,,good
physacts,completely,,moderately
emoprobs,c,,d
ratepain,c,b,d
abmelegl,it depends,,should
abmoral,it depends,,morally opposed
ABSTATE2,make it harder,,make it harder
ownstock,yes,yes,"no, my company has stock but i do not own any"
stockops,no,,yes
extrapay,yes,yes,no
deptperf,no,,no
newsfrom,radio,,radio
advfront,disagree,,strongly disagree
scibnfts,benefits greater,,harmful results greater
scistudy,general sense,general sense,little understanding
scitext,measurement,,redundancies incorrect
ODDS2,yes,yes,yes
radioact,False,,True
electron,False,True,False
viruses,True,,False
condrift,True,,False
evolved,True,,False
COLDEG1,bachelor's,,associate's
colsci,yes,,yes
colscinm,d,,e
intintl,moderately interested,moderately interested,not at all interested
intsci,very interested,,very interested
intecon,very interested,,very interested
inttech,very interested,,not at all interested
intmed,very interested,,very interested
intenvir,very interested,not at all interested,very interested
visnhist,c,,e
scientgo,agree,,strongly agree
scientod,disagree,,strongly disagree
scientbe,agree,,strongly disagree
compwage,e,e,e
numorg,c,,e
slfmangd,no,yes,yes
wealth,"$250,000 to $500,000","$500,000 to $1 million","less than $5,000"
esop,no,yes,yes
defpensn,no,,yes
buyesop,i would be neither more nor less likely to buy from an employee-owned company,i would be neither more nor less likely to buy from an employee-owned company,i would be less likely to buy from an employee-owned company
company,a company whose stock is owned by the employees who appoint the management to run the company's operations,,a company in which the government owns the stock and appoints the management to run the company's operations
ratetone,e,,c
posslq,married with partner,married with partner,no steady partner
intcntct,e,,b
goodlife,agree,,strongly disagree
stress,sometimes,often,sometimes
supervis,supervises,supervises,doesnt supervise
XMARSEX1,always wrong,,not wrong at all
HOMOSEX1,not wrong at all,,wrong only sometimes
concong,very little confidence,no confidence at all,complete confidence
conbiz,a great deal of confidence,a great deal of confidence,a great deal of confidence
conchurh,very little confidence,a great deal of confidence,no confidence at all
concourt,some confidence,very little confidence,a great deal of confidence
conschls,some confidence,some confidence,very little confidence
clergvte,strongly agree,,strongly disagree
godchnge,"don't believe now, used to",,"believe now, always have"
hell,"yes, probably",,"no, probably not"
miracles,"yes, probably",,"no, definitely not"
theism,neither agree nor disagree,strongly agree,strongly disagree
fatalism,disagree,,strongly agree
godmeans,disagree,disagree,disagree
marelkid,catholic,,other
parelkid,catholic,catholic,hinduism
religkid,catholic,,other
attendma,several times a week,,never
prayfreq,2-3 times a month,several times a week,every week
relactiv,less than once a year,,nearly every week
relscrpt,no,,yes
RELEXT3,probably,,probably not
mywaygod,agree,,agree
relgeneq,treats women better than men,,treats men better than women
relobjct,no,,no
relgenbar,agree,disagree,strongly agree
govvsrel,strongly agree,,disagree
difrel,agree,disagree,neither agree nor disagree
relpast,neither agree nor disagree,disagree,neither agree nor disagree
atheists,neither positive nor negative,,very negative
partners,1 partner,1 partner,1 partner
matesex,yes,yes,yes
nummen,c,c,c
PARTNRS5,1 partner,,2 partners
SEXSEX5,exclusively female,,both male and female
relatsex,"yes, in relationship",,"yes, in relationship"
hivtest,no,,yes
HIVTEST1,e,c,c
sexornt,heterosexual or straight,,bisexual
sexbirth,male,,intersex
GENEGOO2,e,,c
realinc,d,,b
realrinc,c,,c
ETH1,italy,,arabic
ETH2,other spanish,netherlands,czechoslovakia
RACECEN1,white,,white
yearsusa,e,,e
mnthsusa,e,e,c
vetyears,none,,less than 2 yrs
wordc,incorrect,,incorrect
worde,correct,correct,correct
wordg,incorrect,incorrect,incorrect
wordh,incorrect,incorrect,incorrect
wordj,incorrect,incorrect,incorrect
OLD1,e,,b
GENDER2,female,,male
RELATE3,child,,child
MAR3,never married,,never married
RELATE4,child,,other relative
GENDER4,female,,male
OLD4,e,,d
MAR4,never married,,widowed
OLD8,e,e,b
OLD10,e,e,c
OLD11,e,,c
RELHHD2,spouse,spouse,"son-in-law,daughter-in-law"
hhrace,"other, mixed",,"other, mixed"
respnum,2nd person,,1st person
famgen,"2 gens, children",,1 gen
RELHH3,"child, unsp",,sibling-in-law
RELHH4,"child, unsp",,stepchild
RELSP3,"child, not specified",,parent
dateintv,910,,620
ISCO88,c,d,e
MAISCO88,c,c,c
SPISCO88,c,,d
ISCO08,computer network professionals,office supervisors,crop farm labourers
PAISCO08,managing directors and chief executives,,journalists
SEI10,d,,b
SEI10INC,d,,c
PASEI10EDUC,d,,c
PASEI10INC,d,,d
MASEI10EDUC,c,,c
MASEI10INC,c,,c
SPSEI10EDUC,c,,b
COSEI10,e,e,b
COSEI10EDUC,e,,d
COPRES10,e,,d
COPRES105PLUS,e,,b
zodiac,aries,,aries
WHOELSE1,no,,yes
WHOELSE3,no,,no
WHOELSE5,no,no,no
WHOELSE6,yes,yes,yes
feeused,"yes, money",,"yes, money"
intage,68,51,65
mode,in-person,,in-person
intsex,female,female,male
intyrs,23,,0
version,2,,2
sampcode,601,,623
phase,phase one - initial cases,phase one - initial cases,phase two - sub sampled cases
huadd,yes,,yes
dwellpre,detached single family house,detached single family house,"2-family house, 2 units one above the other"
kidsinhh,yes,,no
respond,high,,low
neisafe,very safe,,somewhat safe
vstrat,3301,3369,3319
vpsu,1,2,1
